,agent_type,size,dirt_rate,cleaned_slots_avg,cleaned_slots_std,remaining_life_avg,remaining_life_std
0,SimpleReflexAgent,2,0.1,0.6333333333333333,0.8502873077655142,997.8,3.623676928584918
1,SimpleReflexAgent,2,0.2,0.7333333333333333,0.7849152527649012,997.5333333333333,3.421366266045888
2,SimpleReflexAgent,2,0.4,1.7,0.7943767889097848,992.6,4.903200924941259
3,SimpleReflexAgent,2,0.8,3.033333333333333,0.889917986664224,991.0333333333333,5.0751818947075975
4,SimpleReflexAgent,4,0.1,1.7,1.2359555845161072,959.5666666666667,47.96312041079302
5,SimpleReflexAgent,4,0.2,2.9,1.6049492418657725,952.3666666666667,30.13588001648228
6,SimpleReflexAgent,4,0.4,6.333333333333333,1.9178532059415365,916.1,49.76312857444999
7,SimpleReflexAgent,4,0.8,12.8,1.2703515668696896,895.1,42.99987971113889
8,SimpleReflexAgent,8,0.1,7.366666666666666,2.709922168793698,616.2333333333333,217.68906698559178
9,SimpleReflexAgent,8,0.2,12.233333333333333,2.8000410506022,450.3333333333333,270.0134521978786
10,SimpleReflexAgent,8,0.4,25.366666666666667,4.205770529537535,338.9,249.24746738933976
11,SimpleReflexAgent,8,0.8,51.233333333333334,3.67360889301659,265.3,256.6082684721517
12,SimpleReflexAgent,16,0.1,19.0,4.660915996993991,1.6,8.763560920082657
13,SimpleReflexAgent,16,0.2,37.7,6.254102102096533,0.0,0.0
14,SimpleReflexAgent,16,0.4,75.16666666666667,9.81231925669983,0.0,0.0
15,SimpleReflexAgent,16,0.8,142.66666666666666,21.73561090950046,0.0,0.0
16,SimpleReflexAgent,32,0.1,29.8,6.619719756543507,0.0,0.0
17,SimpleReflexAgent,32,0.2,58.63333333333333,11.888804740633919,0.0,0.0
18,SimpleReflexAgent,32,0.4,109.06666666666666,19.84758012407581,0.0,0.0
19,SimpleReflexAgent,32,0.8,193.93333333333334,29.791150425556932,0.0,0.0
20,SimpleReflexAgent,64,0.1,32.9,8.607735093988191,0.0,0.0
21,SimpleReflexAgent,64,0.2,63.36666666666667,10.86114026316261,0.0,0.0
22,SimpleReflexAgent,64,0.4,115.93333333333334,21.844171215497145,0.0,0.0
23,SimpleReflexAgent,64,0.8,214.73333333333332,25.06533990130228,0.0,0.0
24,SimpleReflexAgent,128,0.1,33.93333333333333,6.674363373145158,0.0,0.0
25,SimpleReflexAgent,128,0.2,67.2,13.015640458760535,0.0,0.0
26,SimpleReflexAgent,128,0.4,126.86666666666666,18.136899581703087,0.0,0.0
27,SimpleReflexAgent,128,0.8,218.43333333333334,28.884649703705033,0.0,0.0
28,DumbAgent,2,0.1,0.4,0.49827287912243995,994.9666666666667,10.522499156842311
29,DumbAgent,2,0.2,0.6333333333333333,0.6149478998583782,982.0666666666667,27.56050814472408
30,DumbAgent,2,0.4,1.4333333333333333,0.9714309861845772,970.6,43.294978605073744
31,DumbAgent,2,0.8,3.066666666666667,0.9802650357071221,948.0666666666667,44.023452474971705
32,DumbAgent,4,0.1,1.5666666666666667,0.9352607356658148,798.4666666666667,231.6295695097333
33,DumbAgent,4,0.2,2.9,1.4227220146727477,769.9,219.83165188938054
34,DumbAgent,4,0.4,6.9,1.70900253223113,690.5666666666667,213.57752098773028
35,DumbAgent,4,0.8,12.533333333333333,1.407696414502182,560.7,203.11541648479835
36,DumbAgent,8,0.1,5.7,2.119694187442109,28.4,116.4422603696785
37,DumbAgent,8,0.2,10.5,2.6096637384127113,14.266666666666667,53.69256889014519
38,DumbAgent,8,0.4,23.0,3.9128435731046296,0.0,0.0
39,DumbAgent,8,0.8,42.63333333333333,3.547542455174338,0.0,0.0
40,DumbAgent,16,0.1,10.233333333333333,3.8118086333748793,0.0,0.0
41,DumbAgent,16,0.2,17.366666666666667,3.9434217010920456,0.0,0.0
42,DumbAgent,16,0.4,38.56666666666667,5.230437005104622,0.0,0.0
43,DumbAgent,16,0.8,74.2,8.876159467728806,0.0,0.0
44,DumbAgent,32,0.1,11.266666666666667,3.6001277116555017,0.0,0.0
45,DumbAgent,32,0.2,22.0,4.093729435326078,0.0,0.0
46,DumbAgent,32,0.4,46.0,6.5705718010766345,0.0,0.0
47,DumbAgent,32,0.8,88.0,9.5375844552685,0.0,0.0
48,DumbAgent,64,0.1,11.3,2.6929025489109395,0.0,0.0
49,DumbAgent,64,0.2,23.1,4.866139162090167,0.0,0.0
50,DumbAgent,64,0.4,45.36666666666667,5.786329509749881,0.0,0.0
51,DumbAgent,64,0.8,94.0,11.939502675485736,0.0,0.0
52,DumbAgent,128,0.1,12.766666666666667,3.339247626733255,0.0,0.0
53,DumbAgent,128,0.2,23.066666666666666,4.409498629200323,0.0,0.0
54,DumbAgent,128,0.4,46.8,6.059475338617226,0.0,0.0
55,DumbAgent,128,0.8,93.63333333333334,8.93842280823919,0.0,0.0
