,algorithm,size,iterations,time_ms
460,backtracking,20,199635,2488.69604
461,backtracking,20,199635,2500.405052
462,backtracking,20,199635,2509.387539
463,backtracking,20,199635,2541.089015
464,backtracking,20,199635,2573.142063
465,backtracking,20,199635,2651.199301
466,forwardchecking,20,145151,2327.521697
467,forwardchecking,20,145151,2340.769176
468,forwardchecking_mrv,20,145,6.175913
469,forwardchecking_mrv,20,145,6.181812
470,forwardchecking,20,145151,2335.996841
471,forwardchecking_mrv,20,145,6.190012
472,forwardchecking,20,145151,2334.774615
473,forwardchecking,20,145151,2346.184925
474,forwardchecking,20,145151,2346.232515
475,forwardchecking_mrv,20,145,6.158823
476,forwardchecking,20,145151,2356.65574
477,forwardchecking_mrv,20,145,6.115102
478,forwardchecking_mrv,20,145,6.122332
479,forwardchecking,20,145151,2350.049374
480,forwardchecking_mrv,20,145,5.481589
481,forwardchecking_mrv,20,145,6.196312
482,forwardchecking,20,145151,2357.002351
483,forwardchecking,20,145151,2350.855809
484,forwardchecking,20,145151,2352.719128
485,forwardchecking_mrv,20,145,6.090692
486,forwardchecking_mrv,20,145,6.142172
487,forwardchecking_mrv,20,145,6.038061
488,forwardchecking,20,145151,2360.864411
489,forwardchecking,20,145151,2353.125361
490,forwardchecking_mrv,20,145,6.165013
491,forwardchecking_mrv,20,145,6.098712
492,forwardchecking,20,145151,2385.115748
493,forwardchecking_mrv,20,145,6.094161
494,forwardchecking,20,145151,2347.833343
495,forwardchecking_mrv,20,145,6.042322
496,forwardchecking,20,145151,2357.195912
497,forwardchecking_mrv,20,145,6.036812
498,backtracking,20,199635,1519.711607
499,backtracking,20,199635,1653.162546
500,backtracking,20,199635,2309.709704
501,backtracking,20,199635,2478.621538
502,backtracking,20,199635,2486.179407
503,backtracking,20,199635,2503.201717
504,backtracking,20,199635,2524.506988
505,backtracking,20,199635,2508.025822
506,backtracking,20,199635,2500.237211
507,backtracking,20,199635,2487.490305
508,backtracking,20,199635,2498.10158
509,backtracking,20,199635,2516.814188
510,backtracking,20,199635,2518.392116
511,backtracking,20,199635,2505.522398
512,forwardchecking,20,145151,1435.698757
513,forwardchecking_mrv,20,145,3.325668
514,forwardchecking,20,145151,1743.154417
515,forwardchecking_mrv,20,145,3.375907
516,forwardchecking,20,145151,1600.286199
517,forwardchecking_mrv,20,145,3.282328
518,forwardchecking,20,145151,1775.881608
519,forwardchecking_mrv,20,145,5.973092
520,forwardchecking,20,145151,1778.745063
521,forwardchecking_mrv,20,145,3.253127
522,forwardchecking,20,145151,1795.572421
523,forwardchecking_mrv,20,145,5.991192
524,forwardchecking,20,145151,1799.320311
525,forwardchecking_mrv,20,145,3.241207
526,forwardchecking,20,145151,1890.523559
527,forwardchecking_mrv,20,145,3.207857
528,forwardchecking,20,145151,2102.292757
529,forwardchecking,20,145151,2073.948109
530,forwardchecking,20,145151,2026.972493
531,forwardchecking,20,145151,2041.182958
532,forwardchecking_mrv,20,145,3.235047
533,forwardchecking_mrv,20,145,3.267817
534,forwardchecking_mrv,20,145,3.319637
535,forwardchecking_mrv,20,145,3.311478
536,forwardchecking,20,145151,2095.762184
537,forwardchecking_mrv,20,145,3.217667
538,forwardchecking,20,145151,2101.397903
539,forwardchecking_mrv,20,145,3.211707
