,algorithm,size,optimal_rate,h_reached_avg,h_reached_std,time_ms_avg,time_ms_std,iter_avg,iter_std
0,hill_climbing,4,0.3333333333333333,0.9333333333333333,0.7849152527649012,0.3254856666666666,0.2103857825880718,18.4,13.2706572869465
1,hill_climbing,8,0.16666666666666666,1.2666666666666666,0.7849152527649012,3.7116438333333335,1.9784075330385276,218.4,113.29595056220282
2,hill_climbing,10,0.1,1.4,0.7701320979389588,8.9577568,3.5284218605995794,444.0,173.5749862799043
3,hill_climbing,12,0.0,1.9333333333333333,0.6914918072835209,16.949412333333335,8.127506587846906,770.0,368.62877317674634
4,hill_climbing,15,0.0,2.2333333333333334,1.1351236704106018,40.6087189,14.4860217875182,1624.0,572.9452040959517
5,simulated_annealing,4,1.0,0.0,0.0,1.7685364,1.2312818966055352,91.03333333333333,67.95865037594214
6,simulated_annealing,8,0.9666666666666667,0.03333333333333333,0.18257418583505527,20.762859,21.715887521704484,925.2,1014.7510787006526
7,simulated_annealing,10,1.0,0.0,0.0,52.028597833333315,50.41261401151351,2006.1666666666667,1960.3186947681415
8,simulated_annealing,12,1.0,0.0,0.0,68.20473896666667,53.917030720778584,2469.233333333333,1970.1952937214878
9,simulated_annealing,15,1.0,0.0,0.0,128.2796594,99.33689268479013,4227.333333333333,3482.202001838664
10,genetic_algorithm,4,1.0,0.0,0.0,18.94682963333333,1.4224112579032222,1000.0,0.0
11,genetic_algorithm,8,0.9,0.1,0.30512857662936455,86.47355796666668,89.1893495200747,1400.0,1220.5143065174586
12,genetic_algorithm,10,0.06666666666666667,0.9666666666666667,0.3198419149747461,828.7293812666666,209.03649199108992,9400.0,2283.3731853221616
13,genetic_algorithm,12,0.03333333333333333,1.4666666666666666,0.571346463723366,2119.8054325333333,385.80045695770434,20333.333333333332,3651.483716701105
14,genetic_algorithm,15,0.0,2.433333333333333,0.504006932993731,6536.692944433334,780.1766334852923,51000.0,0.0
