,algorithm,size,time_ms_avg,time_ms_std,iter_avg,iter_std
0,backtracking,4,0.0234841,0.006527362562638751,8.0,0.0
1,backtracking,8,0.2922886333333333,0.05707431130007756,113.0,0.0
2,backtracking,10,0.35689150000000003,0.07004875861695097,102.0,0.0
3,backtracking,12,1.3080663333333333,0.2404863088666356,261.0,0.0
4,backtracking,15,11.028763399999999,0.40072496927285567,1359.0,0.0
5,forwardchecking,4,0.062020900000000004,0.015009965933821529,8.0,0.0
6,forwardchecking,8,0.5776248333333334,0.10485379135370897,88.0,0.0
7,forwardchecking,10,0.6345767333333332,0.11376924419856468,83.0,0.0
8,forwardchecking,12,1.8513335666666666,0.21911465065996893,193.0,0.0
9,forwardchecking,15,12.029617033333334,1.1650157010582771,1026.0,0.0
10,forwardchecking_mrv,4,0.06416780000000001,0.0095188530147934,8.0,0.0
11,forwardchecking_mrv,8,0.8111244666666667,0.15367482372130675,75.0,0.0
12,forwardchecking_mrv,10,0.4690900666666667,0.08393843204188756,35.0,0.0
13,forwardchecking_mrv,12,3.1085840333333334,0.24524221353360218,153.0,0.0
14,forwardchecking_mrv,15,0.9310058666666666,0.2281296022521096,34.0,0.0
