,algorithm,goal_reached,solution_length,explored_states
1263,GoalAgentBFS,True,54,3934
1264,GoalAgentDLS,False,0,3226
1265,GoalAgentBFS,True,89,8398
1266,GoalAgentUCS,True,37,2251
1267,GoalAgentAStar,True,37,410
1268,GoalAgentDFS,True,2468,5064
1269,GoalAgentDFS,True,1071,1921
1270,GoalAgentDLS,False,0,3038
1271,GoalAgentDLS,False,0,2353
1272,GoalAgentDFS,True,1188,7218
1273,GoalAgentDLS,False,0,2963
1274,GoalAgentBFS,True,88,7957
1275,GoalAgentUCS,True,100,6874
1276,GoalAgentUCS,True,54,3934
1277,GoalAgentUCS,True,89,8398
1278,GoalAgentAStar,True,54,937
1279,GoalAgentAStar,True,100,2621
1280,GoalAgentDFS,True,2286,5686
1281,GoalAgentBFS,True,36,2301
1282,GoalAgentAStar,True,89,2473
1283,GoalAgentDLS,False,0,2645
1284,GoalAgentBFS,True,75,5047
1285,GoalAgentDFS,True,1274,5216
1286,GoalAgentBFS,True,102,5796
1287,GoalAgentDLS,True,140,1779
1288,GoalAgentUCS,True,36,2301
1289,GoalAgentAStar,True,36,307
1290,GoalAgentUCS,True,88,7957
1291,GoalAgentDFS,True,1747,6327
1292,GoalAgentAStar,True,88,2134
1293,GoalAgentDFS,True,520,8107
1294,GoalAgentDLS,False,0,3669
1295,GoalAgentBFS,True,53,4768
1296,GoalAgentDLS,False,0,2202
1297,GoalAgentBFS,True,43,3263
1298,GoalAgentDFS,True,1399,2046
1299,GoalAgentUCS,True,75,5047
1300,GoalAgentDLS,False,0,2870
1301,GoalAgentAStar,True,75,942
1302,GoalAgentUCS,True,102,5796
1303,GoalAgentAStar,True,102,1734
1304,GoalAgentBFS,True,57,3431
1305,GoalAgentUCS,True,53,4768
1306,GoalAgentDFS,True,375,8447
1307,GoalAgentAStar,True,53,794
1308,GoalAgentDFS,True,1633,2370
1309,GoalAgentDLS,True,91,2478
1310,GoalAgentDLS,False,0,1450
1311,GoalAgentBFS,True,60,4056
1312,GoalAgentUCS,True,43,3263
1313,GoalAgentUCS,True,57,3431
1314,GoalAgentAStar,True,43,371
1315,GoalAgentAStar,True,57,800
1316,GoalAgentDFS,True,2132,5579
1317,GoalAgentBFS,True,143,8399
1318,GoalAgentBFS,True,73,3967
1319,GoalAgentDLS,False,0,3467
1320,GoalAgentDFS,True,2891,4306
1321,GoalAgentUCS,True,60,4056
1322,GoalAgentBFS,True,112,8555
1323,GoalAgentDLS,False,0,1464
1324,GoalAgentAStar,True,60,654
1325,GoalAgentDFS,True,752,1290
1326,GoalAgentBFS,True,10,192
1327,GoalAgentDFS,True,1231,6959
1328,GoalAgentDLS,False,0,2627
1329,GoalAgentDLS,False,0,4706
1330,GoalAgentUCS,True,143,8399
1331,GoalAgentUCS,True,73,3967
1332,GoalAgentDFS,True,58,8896
1333,GoalAgentAStar,True,73,1603
1334,GoalAgentDLS,True,58,2119
1335,GoalAgentUCS,True,10,192
1336,GoalAgentAStar,True,10,38
1337,GoalAgentUCS,True,112,8555
1338,GoalAgentBFS,True,54,2854
1339,GoalAgentAStar,True,143,5444
1340,GoalAgentBFS,True,86,5735
1341,GoalAgentDFS,True,598,4121
1342,GoalAgentAStar,True,112,3795
1343,GoalAgentDFS,True,726,2779
1344,GoalAgentDLS,False,0,4394
1345,GoalAgentDLS,False,0,2593
1346,GoalAgentBFS,True,111,7596
1347,GoalAgentUCS,True,54,2854
1348,GoalAgentAStar,True,54,500
1349,GoalAgentBFS,True,16,290
1350,GoalAgentBFS,True,110,8416
1351,GoalAgentDFS,True,819,3092
1352,GoalAgentUCS,True,86,5735
