,algorithm,goal_reached_n,solution_length_avg,solution_length_std,explored_states_avg,explored_states_std
0,GoalAgentBFS,299,64.36333333333333,34.08720847317757,4208.173333333333,2555.3551972087744
1,GoalAgentDFS,299,1014.3433333333334,651.2013380908602,4558.143333333333,2601.4783955018925
2,GoalAgentDLS,93,36.403333333333336,56.865216359924965,2593.383333333333,1032.673727019888
3,GoalAgentUCS,299,64.36333333333333,34.08720847317757,4208.173333333333,2555.3551972087744
4,GoalAgentAStar,299,64.36333333333333,34.08720847317757,1304.4266666666667,1394.9870300480322
