,algorithm,goal_reached,solution_length,explored_states
816,GoalAgentUCS,True,14,301
817,GoalAgentDFS,True,2541,3283
818,GoalAgentUCS,True,85,7721
819,GoalAgentBFS,True,42,3042
820,GoalAgentDLS,False,0,3538
821,GoalAgentBFS,True,126,8317
822,GoalAgentDFS,True,1239,7201
823,GoalAgentDFS,True,284,287
824,GoalAgentDLS,True,137,424
825,GoalAgentDFS,True,346,5548
826,GoalAgentUCS,True,65,6071
827,GoalAgentDLS,True,142,433
828,GoalAgentUCS,True,83,3290
829,GoalAgentDLS,False,0,2715
830,GoalAgentUCS,True,31,1657
831,GoalAgentDLS,False,0,2536
832,GoalAgentDFS,True,2052,5725
833,GoalAgentBFS,True,25,725
834,GoalAgentUCS,True,57,4663
835,GoalAgentBFS,True,139,8832
836,GoalAgentDFS,True,472,6174
837,GoalAgentDFS,True,29,8987
838,GoalAgentDLS,True,136,364
839,GoalAgentDLS,False,0,3630
840,GoalAgentBFS,True,89,6569
841,GoalAgentBFS,True,56,5301
842,GoalAgentDFS,True,103,8824
843,GoalAgentDLS,True,103,402
844,GoalAgentBFS,True,86,7714
845,GoalAgentBFS,True,86,7642
846,GoalAgentDLS,True,29,2315
847,GoalAgentDFS,True,797,2253
848,GoalAgentDFS,True,1320,1787
849,GoalAgentBFS,True,53,3920
850,GoalAgentUCS,True,96,7160
851,GoalAgentUCS,True,42,3042
852,GoalAgentUCS,True,29,1179
853,GoalAgentDLS,True,142,2081
854,GoalAgentDFS,True,1050,1943
855,GoalAgentBFS,True,46,3665
856,GoalAgentUCS,True,126,8317
857,GoalAgentBFS,True,103,6772
858,GoalAgentUCS,True,133,8773
859,GoalAgentDFS,True,497,8201
860,GoalAgentBFS,True,39,2570
861,GoalAgentDLS,False,0,3912
862,GoalAgentBFS,True,11,182
863,GoalAgentBFS,True,19,582
864,GoalAgentDFS,True,2153,5874
865,GoalAgentDFS,True,2438,4750
866,GoalAgentDFS,True,521,4408
867,GoalAgentDFS,True,398,2160
868,GoalAgentUCS,True,98,6926
869,GoalAgentDLS,False,0,1322
870,GoalAgentBFS,True,31,1327
871,GoalAgentDLS,True,130,1343
872,GoalAgentBFS,True,58,2344
873,GoalAgentDLS,True,125,3213
874,GoalAgentDLS,False,0,3448
875,GoalAgentUCS,True,25,725
876,GoalAgentUCS,True,103,7296
877,GoalAgentDFS,True,2821,3842
878,GoalAgentDLS,False,0,3457
879,GoalAgentDFS,True,992,1577
880,GoalAgentUCS,True,56,5301
881,GoalAgentBFS,True,48,2775
882,GoalAgentDLS,False,0,1639
883,GoalAgentDLS,False,0,4358
884,GoalAgentDLS,True,132,2590
885,GoalAgentUCS,True,46,3665
886,GoalAgentDFS,True,1177,6500
887,GoalAgentUCS,True,58,2344
888,GoalAgentBFS,True,42,2799
889,GoalAgentDFS,True,659,7846
890,GoalAgentDLS,True,139,1614
891,GoalAgentBFS,True,25,1054
892,GoalAgentDFS,True,147,8812
893,GoalAgentUCS,True,89,6569
894,GoalAgentUCS,True,19,582
895,GoalAgentBFS,True,36,2131
896,GoalAgentUCS,True,53,3920
897,GoalAgentUCS,True,139,8832
898,GoalAgentDFS,True,389,8320
899,GoalAgentDFS,True,526,1222
900,GoalAgentUCS,True,86,7642
901,GoalAgentUCS,True,103,6772
902,GoalAgentUCS,True,86,7714
903,GoalAgentDLS,False,0,2847
904,GoalAgentUCS,True,11,182
905,GoalAgentDFS,True,1314,6635
906,GoalAgentDLS,True,138,1821
907,GoalAgentDLS,False,0,3809
908,GoalAgentDLS,True,141,2851
909,GoalAgentBFS,True,23,911
910,GoalAgentBFS,True,56,1760
911,GoalAgentUCS,True,31,1327
912,GoalAgentBFS,True,110,8293
913,GoalAgentUCS,True,36,2131
914,GoalAgentDLS,True,138,3184
915,GoalAgentUCS,True,39,2570
916,GoalAgentBFS,True,58,3531
917,GoalAgentBFS,True,47,1752
918,GoalAgentDFS,True,1232,1673
919,GoalAgentDFS,True,476,510
920,GoalAgentDFS,True,601,7849
921,GoalAgentBFS,True,90,4669
922,GoalAgentBFS,True,85,7312
923,GoalAgentDFS,True,234,8466
924,GoalAgentDLS,True,134,948
925,GoalAgentDLS,True,135,775
926,GoalAgentDFS,True,1239,3869
927,GoalAgentDLS,True,114,618
928,GoalAgentBFS,True,97,6906
929,GoalAgentUCS,True,48,2775
930,GoalAgentDLS,False,0,2104
931,GoalAgentBFS,True,83,5714
932,GoalAgentUCS,True,25,1054
933,GoalAgentDLS,False,0,2028
934,GoalAgentDFS,True,1151,2090
935,GoalAgentBFS,True,90,6607
936,GoalAgentBFS,True,63,2784
937,GoalAgentDLS,True,141,392
938,GoalAgentUCS,True,56,1760
939,GoalAgentUCS,True,23,911
940,GoalAgentDFS,True,814,868
941,GoalAgentUCS,True,42,2799
942,GoalAgentUCS,True,58,3531
943,GoalAgentBFS,True,82,4457
944,GoalAgentDFS,True,689,3623
945,GoalAgentBFS,True,103,5230
946,GoalAgentDFS,True,1326,7032
947,GoalAgentDLS,False,0,2703
948,GoalAgentBFS,True,35,2078
949,GoalAgentDFS,True,935,7626
